Number of frames: 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z
1,-187.7926941,846.0817261,-3092.850586,-195.5337524,873.4899902,-3081.691162,-136.9971466,859.2122803,-3067.026123,-119.8740463,872.7463989,-3056.096191,-59.34156799,877.9420166,-3038.482422,-72.45173645,859.609436,-3068.387939,-169.896759,693.3448486,-2953.020508,-160.407608,729.057251,-2986.564453,-209.0576935,730.9931641,-2997.929443,-218.3624115,695.1879272,-2964.483887
2,-187.7952881,846.0748901,-3092.830078,-195.531189,873.4949951,-3081.695801,-136.997467,859.2092896,-3067.006836,-119.8729706,872.7495117,-3056.104004,-59.34226608,877.9420166,-3038.476563,-72.45133209,859.6071777,-3068.380371,-169.8894196,693.3197021,-2953.025391,-160.4022522,729.0286255,-2986.57373,-209.0544891,730.9772949,-2997.927002,-218.3594971,695.1746826,-2964.470703
3,-187.8005676,846.0854492,-3092.862793,-195.5349274,873.4967651,-3081.703369,-136.9978485,859.2093506,-3067.004883,-119.8738861,872.7478638,-3056.097656,-59.34226227,877.9400024,-3038.470459,-72.45182037,859.6060181,-3068.38208,-169.8905487,693.3164673,-2953.036621,-160.4011688,729.019104,-2986.596436,-209.0545502,730.973999,-2997.93042,-218.3617401,695.1769409,-2964.475098
4,-187.8012085,846.0859985,-3092.853027,-195.5309753,873.4873047,-3081.662598,-136.9985657,859.2133179,-3067.018066,-119.872261,872.7496338,-3056.109619,-59.34228134,877.9415894,-3038.470947,-72.45206451,859.605896,-3068.387939,-169.9041901,693.3234253,-2953.047607,-160.4058075,729.0238647,-2986.602783,-209.0595093,730.9758911,-2997.945313,-218.3725128,695.1843872,-2964.5
5,-187.7970276,846.0814209,-3092.838623,-195.533783,873.4869995,-3081.662842,-136.9991302,859.2150269,-3067.025879,-119.8742905,872.7532349,-3056.110596,-59.34465408,877.9437866,-3038.474609,-72.45259857,859.6051636,-3068.380615,-169.9203033,693.3381348,-2953.043701,-160.420517,729.0380859,-2986.606689,-209.0726318,730.9874268,-2997.957031,-218.3883514,695.1971436,-2964.497559
6,-187.797287,846.0874023,-3092.843506,-195.5331421,873.4901123,-3081.666748,-137.0006561,859.2138062,-3067.020752,-119.8736954,872.7440796,-3056.096436,-59.342453,877.9456787,-3038.48584,-72.45353699,859.6096191,-3068.401367,-169.9481354,693.3735352,-2953.014404,-160.4422302,729.0645142,-2986.597656,-209.0932465,731.0101318,-2997.954834,-218.4150085,695.2296143,-2964.489258
7,-187.801178,846.0975952,-3092.872314,-195.5319214,873.4967651,-3081.67627,-137.0025177,859.213623,-3067.023926,-119.8750839,872.7439575,-3056.09668,-59.34246826,877.9449463,-3038.480713,-72.45651245,859.6124268,-3068.409424,-170.0006256,693.4372559,-2952.972656,-160.4822998,729.1086426,-2986.560059,-209.1279144,731.0460815,-2997.944092,-218.4587708,695.2797852,-2964.459229
8,-187.8024139,846.0994263,-3092.868896,-195.5289307,873.4940796,-3081.659912,-137.006485,859.2169189,-3067.029297,-119.8729477,872.7451782,-3056.094971,-59.34392929,877.9447021,-3038.47876,-72.45531464,859.6100464,-3068.392334,-170.0756683,693.5275879,-2952.89624,-160.5446167,729.1731567,-2986.503174,-209.1762238,731.0970459,-2997.926025,-218.5296021,695.3505249,-2964.417969
9,-187.8069458,846.0999756,-3092.849609,-195.5311432,873.5021973,-3081.685303,-137.0064087,859.2144165,-3067.01416,-119.8729248,872.7456665,-3056.093994,-59.34320831,877.9440918,-3038.483643,-72.45417023,859.6079102,-3068.388184,-170.1595612,693.6218872,-2952.806885,-160.6007996,729.2410278,-2986.463867,-209.2229614,731.152771,-2997.929199,-218.6076965,695.4335327,-2964.390625
10,-187.8099823,846.1027222,-3092.842773,-195.5354156,873.5065308,-3081.693115,-137.0048218,859.2183228,-3067.019775,-119.8772507,872.7485962,-3056.097656,-59.34547806,877.944458,-3038.488281,-72.45723724,859.6044312,-3068.381104,-170.2148285,693.6798706,-2952.752197,-160.6337433,729.2815552,-2986.438721,-209.2520752,731.1917114,-2997.919189,-218.6528015,695.4945068,-2964.365967
